sentence,frame,target,Agent,Issue,Side,Position,Frequency,Time,Place,Support_rate
Requiring insurance companies to cover mental health and addiction treatment was voted against by Mike Pence.,Vote,"(81, 86)","(98, 108)","(0, 50)",,"(87, 94)",,,,
"Against requiring insurance companies to cover mental health, Mike Pence voted.",Vote,"(73, 78)","(62, 72)","(8, 58)",,"(0, 7)",,,,
"Mike Pence, requiring insurance companies to cover mental health and addiction treatment, voted against it.",Vote,"(90, 95)","(0, 10)","(12, 88)",,"(96, 103)",,,,
Requiring insurance companies to cover mental health and addiction treatment was voted against by Mike Pence.,Vote,"(81, 86)","(98, 108)","(0, 76)",,"(87, 94)",,,,
"Against, Mike Pence voted requiring insurance companies to cover mental health and addiction treatment.",Vote,"(20, 25)","(9, 19)","(26, 102)",,"(0, 7)",,,,
"Against requiring insurance companies to cover mental health and addiction treatment, Mike Pence voted.",Vote,"(97, 102)","(86, 96)","(8, 84)",,"(0, 7)",,,,
"Against requiring insurance companies to cover mental health and addiction treatment, Mike Pence voted.",Vote,"(97, 102)","(86, 96)","(0, 15)",,,,,,
"To end Medicare as we know it , Mike Pence voted.",Vote,"(43, 48)","(32, 42)","(0, 15)",,,,,,
U.S. Sen. Johnny Isakson has voted $ 7 trillion of our national debt for!,Vote,"(29, 34)","(0, 24)","(35, 68)",,"(69, 72)",,,,
$ 7 trillion of our national debt has been voted for by U.S. Sen. Johnny Isakson!,Vote,"(43, 48)","(56, 80)","(0, 33)",,"(49, 52)",,,,
"Voted for $ 7 trillion of our national debt, U.S. Sen. Johnny Isakson!",Vote,"(0, 5)","(45, 69)","(10, 43)",,"(6, 9)",,,,
Voted for $ 7 trillion of our national debt was U.S. Sen. Johnny Isakson!,Vote,"(0, 5)","(48, 72)","(10, 43)",,"(6, 9)",,,,
"To raise taxes on the people of Broome County, Kim Myers voted repeatedly, but made millions off of tax savings when her family business relocated its headquarters.",Vote,"(57, 62)","(47, 56)","(0, 45)",,,,,,
GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns 23 times.,Vote,"(28, 33)","(0, 27)","(42, 77)",,"(34, 41)","(78, 86)",,,
Banning terrorists from buying guns was voted against 23 times by GOP Rep. Joe Heck of Nevada.,Vote,"(40, 45)","(66, 93)","(0, 35)",,"(46, 53)","(54, 62)",,,
"Banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted against 23 times.",Vote,"(65, 70)","(37, 64)","(0, 35)",,"(71, 78)","(79, 87)",,,
"Banning terrorists from buying guns, 23 times GOP Rep. Joe Heck of Nevada voted against.",Vote,"(74, 79)","(46, 73)","(0, 35)",,"(80, 87)","(37, 45)",,,
"Against banning terrorists from buying guns, GOP Rep. Joe Heck of Nevada voted 23 times.",Vote,"(73, 78)","(45, 72)","(8, 43)",,"(0, 7)","(79, 87)",,,
23 times GOP Rep. Joe Heck of Nevada voted against banning terrorists from buying guns.,Vote,"(37, 42)","(9, 36)","(51, 86)",,"(43, 50)","(0, 8)",,,
23 times against banning terrorists from buying guns voted GOP Rep. Joe Heck of Nevada.,Vote,"(53, 58)","(59, 86)","(17, 52)",,"(9, 16)","(0, 8)",,,
"23 times against banning terrorists from buying guns , GOP Rep. Joe Heck of Nevada voted.",Vote,"(83, 88)","(55, 82)","(17, 52)",,"(9, 16)","(0, 8)",,,
"To force seniors to pay more for prescription drugs, U.S. Rep. Bruce Poliquin voted.",Vote,"(78, 83)","(53, 77)","(0, 51)",,,,,,
Tom Reed has actually voted for every single trade deal that has ever come before him in any form.,Vote,"(22, 27)","(0, 8)","(32, 97)",,"(28, 31)",,,,
"Every single trade deal that has ever come before him in any form, Tom Reed has actually voted for.",Vote,"(89, 94)","(67, 75)","(0, 65)",,"(45, 48)",,,,
"For every single trade deal that has ever come before him in any form, Tom Reed has actually voted.",Vote,"(93, 98)","(71, 79)","(4, 69)",,"(0, 3)",,,,
"Joe Heck voted to defund Planned Parenthood 10 times and opposes a woman's right to choose, even when her health is at risk.",Vote,"(9, 14)","(0, 8)","(15, 43)",,,"(44, 52)",,,
"To defund Planned Parenthood, Joe Heck voted 10 times, and he opposes a woman's right to choose, even when her health is at risk.",Vote,"(39, 44)","(30, 38)","(0, 28)",,,"(45, 53)",,,
"To defund Planned Parenthood, Joe Heck opposes a woman's right to choose, even when her health is at risk, by voting 10 times.",Vote,"(110, 116)","(30, 38)","(0, 28)",,,"(117, 125)",,,
"10 times Joe Heck voted to defund Planned Parenthood and opposes a woman's right to choose, even when her health is at risk.",Vote,"(18, 23)","(9, 17)","(24, 52)",,,"(0, 8)",,,
"10 times to defund Planned Parenthood was voted by Joe Heck, who also opposes a woman's right to choose, even when her health is at risk.",Vote,"(42, 47)","(51, 59)","(9, 37)",,,"(0, 8)",,,
"Ron Johnson, for tax breaks that help companies ship Wisconsin jobs overseas, voted five times.",Vote,"(78, 83)","(0, 11)","(17, 76)",,"(13, 16)","(84, 94)",,,
"Ron Johnson, tax breaks that help companies ship Wisconsin jobs overseas, voted five times for.",Vote,"(74, 79)","(0, 11)","(13, 72)",,"(91, 94)","(80, 90)",,,
Ron Johnson voted for tax breaks that help companies ship Wisconsin jobs overseas five times.,Vote,"(12, 17)","(0, 11)","(22, 81)",,"(18, 21)","(82, 92)",,,
"Ron Johnson, five times, for tax breaks that help companies ship Wisconsin jobs overseas, voted.",Vote,"(90, 95)","(0, 11)","(29, 88)",,"(25, 28)","(13, 23)",,,
Tax breaks that help companies ship Wisconsin jobs overseas were voted for five times by Ron Johnson.,Vote,"(65, 70)","(89, 100)","(0, 59)",,"(71, 74)","(75, 85)",,,
"For tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted five times.",Vote,"(77, 82)","(65, 76)","(4, 63)",,"(0, 3)","(83, 93)",,,
"Five times, Ron Johnson voted for tax breaks that help companies ship Wisconsin jobs overseas.",Vote,"(24, 29)","(12, 23)","(34, 93)",,"(30, 33)","(0, 10)",,,
"Five times, tax breaks that help companies ship Wisconsin jobs overseas were voted for by Ron Johnson.",Vote,"(77, 82)","(90, 101)","(12, 71)",,"(83, 86)","(0, 10)",,,
"Five times for tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted.",Vote,"(88, 93)","(76, 87)","(15, 74)",,"(11, 14)","(0, 10)",,,
"Five times, for tax breaks that help companies ship Wisconsin jobs overseas, Ron Johnson voted.",Vote,"(89, 94)","(77, 88)","(16, 75)",,"(12, 15)","(0, 10)",,,
Five times Ron Johnson voted for tax breaks that help companies ship Wisconsin jobs overseas.,Vote,"(23, 28)","(11, 22)","(33, 92)",,"(29, 32)","(0, 10)",,,
"Marco Rubio, funding health clinics that provide critical care during this public health emergency Zika, voted against.",Vote,"(105, 110)","(0, 11)","(13, 103)",,"(111, 118)",,,,
"Funding health clinics that provide critical care during this public health emergency Zika, Marco Rubio voted against.",Vote,"(104, 109)","(92, 103)","(0, 90)",,"(110, 117)",,,,
Funding health clinics that provide critical care during this public health emergency Zika was voted against by Marco Rubio.,Vote,"(95, 100)","(112, 123)","(0, 90)",,"(101, 108)",,,,
"Against the funding health clinics that provide critical care during this public health emergency Zika, Marco Rubio voted.",Vote,"(116, 121)","(104, 115)","(12, 102)",,"(0, 7)",,,,
"Against funding health clinics that provide critical care during this public health emergency Zika, Marco Rubio voted.",Vote,"(112, 117)","(100, 111)","(8, 98)",,"(0, 7)",,,,
"In 2008, when Senator Barack Obama said he would have voted against invading Iraq, everybody just took him at his word.",Vote,"(54, 59)","(10, 12)","(68, 81)",,"(60, 67)",,,,
"In 2008, everybody just took then Senator Barack Obama at his word when he said he would have voted against invading Iraq.",Vote,"(94, 99)","(30, 32)","(108, 121)",,"(100, 107)",,,,
"In 2008, everybody just took then Senator Barack Obama at his word when he said he would have voted against invading Iraq, he.",Vote,"(94, 99)","(30, 32)","(108, 121)",,"(100, 107)",,,,
"Patrick Murphy, every measure to fund Zika, is the only candidate to have voted against.",Vote,"(74, 79)","(0, 14)","(16, 42)",,"(80, 87)",,,,
Every measure to fund Zika has been voted against by Patrick Murphy.,Vote,"(36, 41)","(53, 67)","(0, 26)",,"(42, 49)",,,,
Every measure to fund Zika is what Patrick Murphy voted against.,Vote,"(50, 55)","(35, 49)","(0, 26)",,"(56, 63)",,,,
"Against every measure to fund Zika, Patrick Murphy is the only candidate to have voted.",Vote,"(81, 86)","(36, 50)","(8, 34)",,"(0, 7)",,,,
"Russ Feingold, Homeland Security, was the only senator to vote against.",Vote,"(58, 62)","(0, 13)","(15, 32)",,"(63, 70)",,,,
"Homeland Security was voted against by Russ Feingold, the only senator.",Vote,"(22, 27)","(39, 52)","(0, 17)",,"(28, 35)",,,,
Homeland Security was the issue that Russ Feingold voted against as the only senator.,Vote,"(51, 56)","(37, 50)","(0, 17)",,"(57, 64)",,,,
"Against Homeland Security, Russ Feingold was the only senator to vote.",Vote,"(65, 69)","(27, 40)","(8, 25)",,"(0, 7)",,,,
Marco Rubio voted against every bill that would have helped keep our families safe.,Vote,"(12, 17)","(0, 11)","(32, 82)",,"(18, 25)",,,,
Every bill that would have helped keep our families safe was voted against by Marco Rubio.,Vote,"(61, 66)","(78, 89)","(6, 56)",,"(67, 74)",,,,
"Against every bill that would have helped keep our families safe, Marco Rubio voted.",Vote,"(78, 83)","(66, 77)","(14, 64)",,"(0, 7)",,,,
"To slash school funding by billions of dollars, Marco Rubio voted and would eliminate the Department of Education.",Vote,"(60, 65)","(48, 59)","(0, 46)",,,,,,
"To allow people on the terrorism watch list to buy guns, Rob Portman even voted.",Vote,"(74, 79)","(57, 68)","(0, 55)",,,,,,
"She, a statewide fracking ban, voted for.",Vote,"(31, 36)","(0, 3)","(5, 29)",,"(37, 40)",,,,
"For a statewide fracking ban, she voted.",Vote,"(34, 39)","(30, 33)","(4, 28)",,"(0, 3)",,,,
"To cut his own taxes and raise taxes on working folks, Sen. Richard Burr in Washington, D.C. took millions from special interests, went there and cashed in, and voted.",Vote,"(161, 166)","(55, 72)","(0, 53)",,,,,,
"To allow welfare recipients to use your tax dollars at ATMs at strip clubs and pot dispensaries, Colorado congressional candidate Morgan Carroll voted.",Vote,"(145, 150)","(97, 144)","(0, 95)",,,,,,
Tammy Duckworth on the Iran nuclear deal voted yes.,Vote,"(41, 46)","(0, 15)","(16, 40)",,"(47, 50)",,,,
"On the Iran nuclear deal, Tammy Duckworth voted yes.",Vote,"(42, 47)","(26, 41)","(0, 24)",,"(48, 51)",,,,
"A trade agreement , with China costing Georgia 93,000 jobs, was voted for by Sen. Johnny Isakson.",Vote,"(64, 69)","(77, 96)","(0, 58)",,"(70, 73)",,,,
Sen. Richard Burr on the Violence Against Women Act voted no.,Vote,"(52, 57)","(0, 17)","(18, 51)",,"(58, 60)",,,,
"On the Violence Against Women Act, Sen. Richard Burr voted no.",Vote,"(53, 58)","(35, 52)","(0, 33)",,"(59, 61)",,,,
No on the Violence Against Women Act was voted by Sen. Richard Burr.,Vote,"(41, 46)","(50, 67)","(3, 36)",,"(0, 2)",,,,
"To deny your individual Second Amendment right, judges supported by Russ Feingold voted during his 18-year Senate career.",Vote,"(82, 87)","(48, 54)","(0, 46)",,,,,,
"To spend taxpayer funds for a junket to China , Rachel Zenzinger voted when she was on the Arvada City Council.",Vote,"(65, 70)","(76, 79)","(0, 45)",,,,,,
"To shut down the government, Joe Heck voted.",Vote,"(38, 43)","(29, 37)","(0, 27)",,,,,,
Democratic U.S. Senate candidate Russ Feingold voted to raise taxes over 250 times.,Vote,"(47, 52)","(0, 46)","(53, 67)",,,"(68, 82)",,,
"To raise taxes, Democratic U.S. Senate candidate Russ Feingold voted over 250 times.",Vote,"(63, 68)","(16, 62)","(0, 14)",,,"(69, 83)",,,
"Over 250 times, Democratic U.S. Senate candidate Russ Feingold voted to raise taxes.",Vote,"(63, 68)","(16, 62)","(69, 83)",,,"(0, 14)",,,
He was one of only four senators to vote against a bill ending the practice of making rape victims pay for their own rape kits because Chris Koster opposed protecting the women of Missouri.,Vote,"(36, 40)","(0, 2)","(49, 126)",,"(41, 48)",,,,
A bill ending the practice of making rape victims pay for their own rape kits was opposed by Chris Koster because he was one of only four senators to vote against it.,Vote,"(150, 154)","(15, 17)","(0, 77)",,"(155, 162)",,,,
A bill ending the practice of making rape victims pay for their own rape kits was voted against by Chris Koster because he was one of only four senators.,Vote,"(82, 87)","(15, 17)","(0, 77)",,"(88, 95)",,,,
"Against a bill ending the practice of making rape victims pay for their own rape kits, Chris Koster opposed protecting the women of Missouri by being one of only four senators to vote.",Vote,"(179, 183)","(23, 25)","(8, 85)",,"(0, 7)",,,,
"To raise taxes on Social Security benefits for seniors, Russ Feingold voted, he even tried to give Social Security benefits to illegal immigrants.",Vote,"(70, 75)","(56, 69)","(0, 54)",,,,,,
"Johnson voted against the Violence Against Women Act, as Donald Trump and Ron Johnson oppose a woman's right to choose.",Vote,"(8, 13)","(0, 7)","(22, 52)",,"(14, 21)",,,,
The Violence Against Women Act was voted against by Johnson due to his position against it.,Vote,"(35, 40)","(52, 59)","(0, 30)",,"(13, 20)",,,,
"Against the Violence Against Women Act, Johnson voted, and Donald Trump and Ron Johnson oppose a woman's right to choose.",Vote,"(48, 53)","(40, 47)","(8, 38)",,"(0, 7)",,,,
A tax break to help working people was voted against by Richard Burr.,Vote,"(39, 44)","(56, 68)","(0, 34)",,"(45, 52)",,,,
"Against a tax break to help working people, Richard Burr voted to protect tax breaks for companies that ship jobs overseas.",Vote,"(57, 62)","(44, 56)","(8, 42)",,"(0, 7)",,,,
"While in Congress, Roy Blunt voted 12 times to raise his own pay.",Vote,"(29, 34)","(19, 28)","(44, 64)",,,"(35, 43)","(0, 17)",,
"Roy Blunt, while in Congress, voted 12 times to raise his own pay.",Vote,"(30, 35)","(0, 9)","(45, 65)",,,"(36, 44)","(11, 28)",,
"To raise his own pay, Roy Blunt voted 12 times while in Congress.",Vote,"(32, 37)","(22, 31)","(0, 20)",,,"(38, 46)","(47, 64)",,
"To raise his own pay 12 times while in Congress, Roy Blunt voted multiple times.",Vote,"(59, 64)","(49, 58)","(0, 20)",,,"(21, 29)","(30, 47)",,
"To raise his own pay, 12 times while in Congress, Roy Blunt voted.",Vote,"(60, 65)","(50, 59)","(0, 20)",,,"(22, 30)","(31, 48)",,
"To raise his own pay, while in Congress, Roy Blunt voted 12 times.",Vote,"(51, 56)","(41, 50)","(0, 20)",,,"(57, 65)","(22, 39)",,
12 times Roy Blunt voted to raise his own pay while in Congress.,Vote,"(19, 24)","(9, 18)","(25, 45)",,,"(0, 8)","(46, 63)",,
12 times Roy Blunt voted while in Congress to raise his own pay.,Vote,"(19, 24)","(9, 18)","(43, 63)",,,"(0, 8)","(25, 42)",,
"12 times while in Congress, Roy Blunt voted to raise his own pay.",Vote,"(38, 43)","(28, 37)","(44, 64)",,,"(0, 8)","(9, 26)",,
"12 times while in Congress, to raise his own pay, Roy Blunt voted.",Vote,"(60, 65)","(50, 59)","(28, 48)",,,"(0, 8)","(9, 26)",,
"While in Congress, Roy Blunt voted to raise his own pay 12 times.",Vote,"(29, 34)","(19, 28)","(35, 55)",,,"(56, 64)","(0, 17)",,
"To allow sex offenders to be coaches, Democrat Stephen Webber voted, permitting them to be within 500 feet of childcare centers and playgrounds.",Vote,"(62, 67)","(38, 61)","(0, 36)",,,,,,
I vote no for the tens of millions of Americans who will lose their health care if the ACA is repealed.,Vote,"(2, 6)","(0, 1)","(83, 90)",,"(7, 9)",,,,
"I vote no for the ACA, for the tens of millions of Americans who will lose their health care if it is repealed.",Vote,"(2, 6)","(0, 1)","(14, 21)",,"(7, 9)",,,,
Thirteen Democratic senators took millions from big pharma since 2011 and voted against cheaper medicines.,Vote,"(74, 79)","(0, 28)","(88, 105)",,"(80, 87)",,,,
Cheaper medicines were voted against by thirteen Democratic senators and took millions from big pharma since 2011.,Vote,"(23, 28)","(40, 68)","(0, 17)",,"(29, 36)",,,,
"Since 2011, cheaper medicines were voted against by Thirteen Democratic senators, who took millions from big pharma.",Vote,"(35, 40)","(52, 80)","(12, 29)",,"(41, 48)",,,,
"Against cheaper medicines, thirteen Democratic senators voted and took millions from big pharma since 2011.",Vote,"(56, 61)","(27, 55)","(8, 25)",,"(0, 7)",,,,
"To let your ISP spy on what type of underwear you buy and sell that data to advertisers, 215 members of Congress just voted.",Vote,"(118, 123)","(89, 112)","(0, 87)",,,,,,
"He has voted with a majority 99 percent of the time on the 10th U.S. Circuit Court of Appeals, demonstrating that Judge Neil Gorsuch's record falls well within the mainstream and that roughly 97 percent of the cases he has participated in were decided unanimously.",Vote,"(7, 12)","(0, 2)",,"(13, 28)",,,,,"(29, 51)"
"With a majority, Judge Neil Gorsuch's record on the 10th U.S. Circuit Court of Appeals falls well within the mainstream because he's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously.",Vote,"(133, 138)","(49, 51)",,"(0, 15)",,,,,"(155, 177)"
"With a majority 99 percent of the time, Judge Neil Gorsuch's record on the 10th U.S . Circuit Court of Appeals falls well within the mainstream, because he 's voted with a majority 99 percent of the time and roughly 97 percent of the cases he has participated in were decided unanimously.",Vote,"(159, 164)","(31, 33)",,"(0, 15)",,,,,"(16, 38)"
"99 percent of the time, he has voted with a majority, and roughly 97 percent of the cases he has participated in were decided unanimously, proving that Judge Neil Gorsuch's record on the 10th U.S. Circuit Court of Appeals falls well within the mainstream.",Vote,"(31, 36)","(15, 17)",,"(37, 52)",,,,,"(0, 22)"
"99 percent of the time, with a majority, he has voted with a majority on Judge Neil Gorsuch's record on the 10th U.S. Circuit Court of Appeals, because roughly 97 percent of the cases he has participated in were decided unanimously.",Vote,"(48, 53)","(15, 17)",,"(24, 39)",,,,,"(0, 22)"
"In 2006, they voted for a border wall.",Vote,"(14, 19)","(9, 13)","(24, 37)",,"(20, 23)",,"(0, 7)",,
"In 2006, for a border wall, they voted.",Vote,"(33, 38)","(28, 32)","(13, 26)",,"(9, 12)",,"(0, 7)",,
Then-Senator Obama voted for it.,Vote,"(19, 24)","(0, 18)","(29, 31)",,"(25, 28)",,,,
It was voted for by then-Senator Obama.,Vote,"(7, 12)","(20, 38)","(0, 2)",,"(13, 16)",,,,
"""It for Then-Senator Obama voted.""",Vote,"(27, 32)","(8, 26)","(1, 3)",,"(4, 7)",,,,
"For then-Senator Obama, it voted.",Vote,"(27, 32)","(4, 22)","(24, 26)",,"(0, 3)",,,,
"For it, Then-Senator Obama voted.",Vote,"(27, 32)","(8, 26)","(4, 6)",,"(0, 3)",,,,
Sen. Schumer for it voted.,Vote,"(20, 25)","(0, 12)","(17, 19)",,"(13, 16)",,,,
It was voted for by Sen. Schumer.,Vote,"(7, 12)","(20, 32)","(0, 2)",,"(13, 16)",,,,
"For it, Sen. Schumer voted.",Vote,"(21, 26)","(8, 20)","(4, 6)",,"(0, 3)",,,,
Sen. Clinton voted for it.,Vote,"(13, 18)","(0, 12)","(23, 25)",,"(19, 22)",,,,
"It, Sen. Clinton, voted for.",Vote,"(18, 23)","(4, 16)","(0, 2)",,"(24, 27)",,,,
It was voted for by Sen. Clinton.,Vote,"(7, 12)","(20, 32)","(0, 2)",,"(13, 16)",,,,
"For it, Sen. Clinton voted.",Vote,"(21, 26)","(8, 20)","(4, 6)",,"(0, 3)",,,,
"In 2006, they voted for it.",Vote,"(14, 19)","(9, 13)","(24, 26)",,"(20, 23)",,"(0, 7)",,
"In 2006, for it, they voted.",Vote,"(22, 27)","(17, 21)","(13, 15)",,"(9, 12)",,"(0, 7)",,
"U.S. Rep. Carlos Curbelo, a health care bill that will let insurance companies charge five times more for people over 50, voted for.",Vote,"(122, 127)","(0, 24)","(26, 120)",,"(102, 105)",,,,
A health care bill that will let insurance companies charge five times more for people over 50 was voted for by U.S. Rep. Carlos Curbelo.,Vote,"(99, 104)","(112, 136)","(0, 94)",,"(76, 79)",,,,
"For a health care bill that will let insurance companies charge five times more for people over 50, U.S. Rep. Carlos Curbelo voted.",Vote,"(125, 130)","(100, 124)","(4, 98)",,"(0, 3)",,,,
Voted for a health care bill that will let insurance companies charge five times more for people over 50 U.S. Rep. Carlos Curbelo.,Vote,"(0, 5)","(105, 129)","(10, 104)",,"(6, 9)",,,,
Sen. Nelson has voted with Warren 90 percent of the time in the past.,Vote,"(16, 21)","(0, 11)",,"(22, 33)",,,,,"(34, 56)"
"With Warren, Sen. Nelson has in the past voted with 90 percent of the time.",Vote,"(41, 46)","(13, 24)",,"(0, 11)",,,,,"(52, 74)"
"With Warren, Sen. Nelson votes 90 percent of the time.",Vote,"(25, 30)","(13, 24)",,"(0, 11)",,,,,"(31, 53)"
"90 percent of the time, Sen. Nelson votes with Warren in the past.",Vote,"(36, 41)","(24, 35)",,"(42, 53)",,,,,"(0, 22)"
"90 percent of the time, with Warren, Sen. Nelson votes with Warren.",Vote,"(49, 54)","(37, 48)",,"(24, 35)",,,,,"(0, 22)"
"Congress is going to vote on deregulating gun silencers this week, just to give you an idea of how far away America is from actual gun control.",Vote,"(21, 25)","(0, 8)","(26, 55)",,,,"(56, 65)",,
"On deregulating gun silencers, Congress is going to vote this week, just to give you an idea of how far away America is from actual gun control.",Vote,"(52, 56)","(31, 39)","(0, 29)",,,,"(57, 66)",,
"This week, Congress is going to vote on deregulating gun silencers, just to give you an idea of how far away America is from actual gun control.",Vote,"(32, 36)","(11, 19)","(37, 66)",,,,"(0, 9)",,
"In the beginning, Stacey Evans voted for school vouchers.",Vote,"(31, 36)","(18, 30)","(41, 56)",,"(37, 40)",,"(0, 16)",,
School vouchers were voted for by Stacey Evans in the beginning.,Vote,"(21, 26)","(34, 46)","(0, 15)",,"(27, 30)",,"(47, 63)",,
"In the beginning, school vouchers were voted for by Stacey Evans.",Vote,"(39, 44)","(52, 64)","(18, 33)",,"(45, 48)",,"(0, 16)",,
School vouchers were voted for in the beginning by Stacey Evans.,Vote,"(21, 26)","(51, 63)","(0, 15)",,"(27, 30)",,"(31, 47)",,
"In the beginning, for school vouchers, Stacey Evans voted.",Vote,"(52, 57)","(39, 51)","(22, 37)",,"(18, 21)",,"(0, 16)",,
"To do exactly that, the @ HouseGOP just voted.",Vote,"(40, 45)","(20, 34)","(0, 18)",,,,,,
"In favor of short-term spending bills, Democratic lawmakers just voted to deport Dreamers.",Vote,"(65, 70)","(39, 59)","(12, 37)",,"(0, 11)",,,,
Heitkamp has voted 68 percent of time against Trump.,Vote,"(13, 18)","(0, 8)",,"(46, 51)","(38, 45)",,,,"(19, 37)"
Trump has been voted against by Heitkamp 68 percent of time.,Vote,"(15, 20)","(32, 40)",,"(0, 5)","(21, 28)",,,,"(41, 59)"
"Against Trump, Heitkamp has voted 68 percent of time.",Vote,"(28, 33)","(15, 23)",,"(8, 13)","(0, 7)",,,,"(34, 52)"
"Against Trump 68 percent of time, Heitkamp has voted.",Vote,"(47, 52)","(34, 42)",,"(8, 13)","(0, 7)",,,,"(14, 32)"
"68 percent of time, Trump has been voted against by Heitkamp.",Vote,"(35, 40)","(52, 60)",,"(20, 25)","(41, 48)",,,,"(0, 18)"
"68 percent of time, Heitkamp has voted against Trump.",Vote,"(33, 38)","(20, 28)",,"(47, 52)","(39, 46)",,,,"(0, 18)"
U.S. Sen. Chuck Schumer voted for the wall in 2005 or 2006.,Vote,"(24, 29)","(0, 23)","(34, 42)",,"(30, 33)",,"(43, 58)",,
The wall was voted for by U.S. Sen. Chuck Schumer in 2005 or 2006.,Vote,"(13, 18)","(26, 49)","(0, 8)",,"(19, 22)",,"(50, 65)",,
"For the wall, in 2005 or 2006 U.S. Sen. Chuck Schumer voted.",Vote,"(54, 59)","(30, 53)","(4, 12)",,"(0, 3)",,"(14, 29)",,
"For the wall in 2005 or 2006, U.S. Sen. Chuck Schumer voted.",Vote,"(54, 59)","(30, 53)","(4, 12)",,"(0, 3)",,"(13, 28)",,
In 2005 or 2006 U.S. Sen. Chuck Schumer voted for the wall.,Vote,"(40, 45)","(16, 39)","(50, 58)",,"(46, 49)",,"(0, 15)",,
"In 2005 or 2006, for the wall, U.S. Sen. Chuck Schumer voted.",Vote,"(55, 60)","(31, 54)","(21, 29)",,"(17, 20)",,"(0, 15)",,
"For the wall, in 2005 or 2006, U.S. Sen. Chuck Schumer voted.",Vote,"(55, 60)","(31, 54)","(4, 12)",,"(0, 3)",,"(14, 29)",,
Mike DeWine voted to let illegal immigrants receive Social Security with Hillary Clinton in the Senate.,Vote,"(12, 17)","(0, 11)","(18, 67)","(68, 88)",,,,"(89, 102)",
"Mike DeWine voted to let illegal immigrants receive Social Security in the Senate, with Hillary Clinton.",Vote,"(12, 17)","(0, 11)","(18, 67)","(83, 103)",,,,"(68, 81)",
"Mike DeWine, with Hillary Clinton, voted to let illegal immigrants receive Social Security in the Senate.",Vote,"(35, 40)","(0, 11)","(41, 90)","(13, 33)",,,,"(91, 104)",
"Mike DeWine, with Hillary Clinton, voted in the Senate to let illegal immigrants receive Social Security.",Vote,"(35, 40)","(0, 11)","(55, 104)","(13, 33)",,,,"(41, 54)",
"Mike DeWine, in the Senate, voted to let illegal immigrants receive Social Security with Hillary Clinton.",Vote,"(28, 33)","(0, 11)","(34, 83)","(84, 104)",,,,"(13, 26)",
Mike DeWine voted in the Senate with Hillary Clinton to let illegal immigrants receive Social Security.,Vote,"(12, 17)","(0, 11)","(53, 102)","(32, 52)",,,,"(18, 31)",
"To let illegal immigrants receive Social Security, Mike DeWine voted with Hillary Clinton in the Senate.",Vote,"(63, 68)","(51, 62)","(0, 49)","(69, 89)",,,,"(90, 103)",
"To let illegal immigrants receive Social Security, Mike DeWine, in the Senate, voted with Hillary Clinton.",Vote,"(79, 84)","(51, 62)","(0, 49)","(85, 105)",,,,"(64, 77)",
"To let illegal immigrants receive Social Security, with Hillary Clinton, Mike DeWine voted in the Senate.",Vote,"(85, 90)","(73, 84)","(0, 49)","(51, 71)",,,,"(91, 104)",
"To let illegal immigrants receive Social Security, with Hillary Clinton, in the Senate, Mike DeWine voted.",Vote,"(100, 105)","(88, 99)","(0, 49)","(51, 71)",,,,"(73, 86)",
"To let illegal immigrants receive Social Security , in the Senate Mike DeWine voted with Hillary Clinton.",Vote,"(78, 83)","(66, 77)","(0, 49)","(84, 104)",,,,"(52, 65)",
"To let illegal immigrants receive Social Security, in the Senate Mike DeWine voted with Hillary Clinton.",Vote,"(77, 82)","(65, 76)","(0, 49)","(83, 103)",,,,"(51, 64)",
"To let illegal immigrants receive Social Security , Mike DeWine voted with Hillary Clinton in the Senate.",Vote,"(64, 69)","(52, 63)","(0, 49)","(70, 90)",,,,"(91, 104)",
"With Hillary Clinton, to let illegal immigrants receive Social Security, in the Senate, Mike DeWine voted.",Vote,"(100, 105)","(88, 99)","(22, 71)","(0, 20)",,,,"(73, 86)",
"To let illegal immigrants receive Social Security, with Hillary Clinton in the Senate, Mike DeWine voted.",Vote,"(99, 104)","(87, 98)","(0, 49)","(51, 71)",,,,"(72, 85)",
"In the Senate, Mike DeWine voted to let illegal immigrants receive Social Security with Hillary Clinton.",Vote,"(27, 32)","(15, 26)","(33, 82)","(83, 103)",,,,"(0, 13)",
"In the Senate, to let illegal immigrants receive Social Security, Mike DeWine voted with Hillary Clinton.",Vote,"(78, 83)","(66, 77)","(15, 64)","(84, 104)",,,,"(0, 13)",
"In the Senate, to let illegal immigrants receive Social Security, with Hillary Clinton, Mike DeWine voted.",Vote,"(100, 105)","(88, 99)","(15, 64)","(66, 86)",,,,"(0, 13)",
"In the Senate, with Hillary Clinton, Mike DeWine voted to let illegal immigrants receive Social Security.",Vote,"(49, 54)","(37, 48)","(55, 104)","(15, 35)",,,,"(0, 13)",
"In the Senate, with Hillary Clinton, to let illegal immigrants receive Social Security, Mike DeWine voted.",Vote,"(100, 105)","(88, 99)","(37, 86)","(15, 35)",,,,"(0, 13)",
